rank,who,times,rating
1,tourist,138,3434
2,OO0OOO00O0OOO0O00OOO0OO,93,3280
3,Syloviaely,35,3274
4,Petr,129,3233
5,Um_nik,149,3213
6,ko_osaga,84,3124
7,Benq,53,3105
8,Swistakk,132,3092
9,fjzzq2002,40,3055
10,anta,130,3053
11,Kostroma,163,3024
11,fateice,25,3024
13,yosupo,86,3021
14,SpyCheese,36,3020
15,dotorya,71,3016
16,rng_58,116,3014
17,ainta,137,3004
18,LHiC,110,3001
19,mnbvmar,57,2994
20,ksun48,110,2979
21,SkyDec,51,2976
22,cki86201,57,2972
23,bmerry,53,2967
24,Egor,193,2966
25,geniucos,99,2958
26,Radewoosh,102,2953
27,FizzyDavid,61,2951
28,yutaka1999,43,2941
29,scott_wu,69,2940
30,izban,132,2925
31,izrak,60,2923
32,shanquan2,38,2922
33,qwerty787788,120,2921
34,kcm1700,78,2901
34,V--o_o--V,106,2901
36,Marcin_smu,93,2892
37,ACRush,36,2882
38,y0105w49,27,2867
39,j_______________________,74,2864
40,Shik,178,2861
41,yjq_naiive,27,2850
42,mcfx,42,2829
43,ecnerwala,49,2822
44,enot110,126,2821
44,RomaWhite,115,2821
46,Endagorion,141,2806
47,I_love_Tanya_Romanova,215,2802
48,Merkurev,111,2800
49,FlZZYDAVlD,19,2791
50,matthew99,95,2790
51,krijgertje,23,2788
52,eds467,30,2783
53,aid,147,2773
54,mareksom,67,2765
55,ikatanic,102,2761
56,AwD,25,2742
57,Golovanov399,161,2740
57,majk,32,2740
59,step_by_step,75,2737
60,CongLingDanPaiShang3k5,6,2734
61,dddddddx.R,9,2728
62,arsijo,92,2723
63,e-pluszak,26,2720
64,Will_Dearborn,12,2719
65,XYX_The_Wanderer,17,2717
66,DEGwer,71,2706
67,MakeRussiaGreatAgain,45,2702
68,tqyaaaaang,53,2698
69,black_horse2014,30,2697
70,Errichto,89,2692
71,Belonogov,168,2690
72,Gullesnuffs,56,2682
72,dacin21,13,2682
72,laofudasuan,12,2682
75,Hezhu,28,2678
75,xumingkuan,7,2678
77,yasugongshang,28,2677
78,sinesight,127,2673
79,kmjp,178,2671
80,PavelKunyavskiy,142,2670
81,HellKitsune,147,2668
82,Andrew_Makar,91,2662
83,zxqfl,62,2661
84,Denisson,33,2659
85,Mariusz1,37,2657
86,gepardo,75,2655
87,Memphis,16,2649
88,ch_egor,44,2644
89,Rafbill,107,2642
90,VArtem,115,2640
90,Nikitosh,134,2640
92,zemen,149,2639
93,Tinsane,100,2635
93,JustasK,71,2635
95,retrograd,55,2633
96,SirShokoladina,130,2631
96,skuecrk,7,2631
98,ilyakor,126,2630
99,AndreySergunin,114,2626
100,demon1999,60,2625
100,DarkestLight,108,2625
102,Ra16bit,191,2622
103,gritukan,61,2621
104,senek_k,52,2619
105,Arterm,155,2618
106,lucyanna2018,13,2615
